,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
437,ROGERS COMMUNICATIONS NON-VOTING I,CA7751092007,Canada,CAD,Toronto Stock Exchange,Equities,Baa1,S&P/TSX COMPOSITE Index,Communication Services,0.05%
438,IA FINANCIAL INC,CA45075E1043,Canada,CAD,-,Equities,-,-,Financials,0.05%
439,KEPPEL LTD,SG1U68934629,Singapore,SGD,-,Equities,-,-,Industrials,0.05%
440,INSURANCE AUSTRALIA GROUP LTD,AU000000IAG3,Australia,AUD,Australian Stock Exchange,Equities,A2,ASX All Ordinaries Index,Financials,0.05%
441,KONGSBERG GRUPPEN,NO0013536151,Norway,NOK,Oslo Stock Exchange,Equities,-,Oslo SE All-share Index,Industrials,0.05%
442,SOUTH32 LTD,AU000000S320,Australia,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Materials,0.05%
443,BOUYGUES SA,FR0000120503,France,EUR,Euronext Paris,Equities,Baa1,CAC 40 Index,Industrials,0.05%
444,DAIWA SECURITIES GROUP INC,JP3502200003,Japan,JPY,Tokyo Stock Exchange,Equities,Baa3,TOPIX Index,Financials,0.05%
445,ADMIRAL GROUP PLC,GB00B02J6398,United Kingdom,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Financials,0.05%
446,LINK REAL ESTATE INVESTMENT TRUST,HK0823032773,Hong Kong,HKD,-,Equities,-,Hang Seng Index,Real Estate,0.05%
447,ISRAEL DISCOUNT BANK LTD,IL0006912120,Israel,ILS,Tokyo Stock Exchange,Equities,-,TOPIX Index,Financials,0.05%
448,METRO INC,CA59162N1096,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Consumer Staples,0.05%
449,CHOCOLADEFABRIKEN LINDT & SPRUENGL,CH0010570759,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Consumer Staples,0.05%
450,JAPAN EXCHANGE GROUP INC,JP3183200009,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Financials,0.05%
451,CGI INC CLASS A,CA12532H1047,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Information Technology,0.05%
452,EQT,SE0012853455,Sweden,SEK,-,Equities,-,OMX Stockholm 30 Index,Financials,0.05%
453,AGEAS SA,BE0974264930,Belgium,EUR,Euronext Brussels,Equities,-,BEL 20 Index,Financials,0.05%
454,ASR NEDERLAND NV,NL0011872643,Netherlands,EUR,Euronext Amsterdam,Equities,-,Amsterdam Exchanges Index,Financials,0.05%
455,ARC RESOURCES LTD,CA00208D4084,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Energy,0.05%
456,INTERTEK GROUP PLC,GB0031638363,United Kingdom,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Industrials,0.05%
457,BANDAI NAMCO HOLDINGS INC,JP3778630008,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Consumer Discretionary,0.05%
458,TELIA COMPANY,SE0000667925,Sweden,SEK,Stockholm Stock Exchange,Equities,A3,OMX Stockholm 30 Index,Communication Services,0.05%
459,SONOVA HOLDING AG,CH0012549785,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Health Care,0.05%
460,ENLIGHT RENEWABLE ENERGY LTD,IL0007200111,Israel,ILS,-,Equities,-,-,Utilities,0.05%
461,LYNAS RARE EARTHS LTD,AU000000LYC6,Australia,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Materials,0.05%
462,ALTAGAS LTD,CA0213611001,Canada,CAD,Toronto Stock Exchange,Equities,Baa2,S&P/TSX COMPOSITE Index,Utilities,0.05%
463,KUEHNE UND NAGEL INTERNATIONAL AG,CH0025238863,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Industrials,0.05%
464,SMITH AND NEPHEW PLC,GB0009223206,United Kingdom,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Health Care,0.05%
465,NORSK HYDRO,NO0005052605,Norway,NOK,Oslo Stock Exchange,Equities,Baa2,Oslo SE All-share Index,Materials,0.05%
466,FUJI ELECTRIC LTD,JP3820000002,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.05%
467,SUMITOMO METAL MINING LTD,JP3402600005,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Materials,0.05%
468,OSAKA GAS LTD,JP3180400008,Japan,JPY,Tokyo Stock Exchange,Equities,Aa3,TOPIX Index,Utilities,0.05%
469,TOKYO GAS LTD,JP3573000001,Japan,JPY,Tokyo Stock Exchange,Equities,Aa3,TOPIX Index,Utilities,0.05%
470,KEYERA CORP,CA4932711001,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Energy,0.05%
471,TFI INTERNATIONAL INC,CA87241L1094,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Industrials,0.05%
472,BUNZL,GB00B0744B38,United Kingdom,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Industrials,0.05%
473,OLYMPUS CORP,JP3201200007,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Health Care,0.05%
474,STELLANTIS NV,NL00150001Q9,Netherlands,EUR,Milan Stock Exchange,Equities,-,FTSE Italia All-Share Index,Consumer Discretionary,0.05%
475,CAPITALAND INTEGRATED COMMERCIAL T,SG1M51904654,Singapore,SGD,-,Equities,-,-,Real Estate,0.05%
476,RYOHIN KEIKAKU LTD,JP3976300008,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Consumer Discretionary,0.05%
477,CARREFOUR SA,FR0000120172,France,EUR,Euronext Paris,Equities,Baa2,CAC 40 Index,Consumer Staples,0.05%
478,MITSUI OSK LINES LTD,JP3362700001,Japan,JPY,Tokyo Stock Exchange,Equities,Baa3,TOPIX Index,Industrials,0.04%
479,METSO CORPORATION,FI0009014575,Finland,EUR,Helsinki Stock Exchange,Equities,-,OMX Helsinki Index,Industrials,0.04%
480,CHOCOLADEFABRIKEN LINDT & SPRUENGL,CH0010570767,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Consumer Staples,0.04%
481,PLS GROUP LTD,AU000000PLS0,Australia,AUD,-,Equities,-,-,Materials,0.04%
482,BELIMO N AG,CH1101098163,Switzerland,CHF,-,Equities,-,Swiss Market Index,Industrials,0.04%
483,GEORGE WESTON LTD,CA9611485090,Canada,CAD,Toronto Stock Exchange,Equities,Baa2,S&P/TSX COMPOSITE Index,Consumer Staples,0.04%
484,WASHINGTON H SOUL PATTINSON & COMP,AU000000SOL3,Australia,AUD,Australian Stock Exchange,Equities,B1,ASX All Ordinaries Index,Financials,0.04%
485,THOMSON REUTERS CORP,CA8849038812,Canada,CAD,-,Equities,-,-,Industrials,0.04%
486,ACCOR SA,FR0000120404,France,EUR,Euronext Paris,Equities,Baa3,CAC 40 Index,Consumer Discretionary,0.04%
487,NOMURA RESEARCH INSTITUTE LTD,JP3762800005,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,0.04%
488,SEVERN TRENT PLC,GB00B1FH8J72,United Kingdom,GBP,London Stock Exchange,Equities,Baa1,FTSE 100 Index,Utilities,0.04%
489,KONAMI GROUP CORP,JP3300200007,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Communication Services,0.04%
490,CENTRICA PLC,GB00B033F229,United Kingdom,GBP,London Stock Exchange,Equities,A3,FTSE 100 Index,Utilities,0.04%
491,ENDEAVOUR MINING,GB00BL6K5J42,United Kingdom,GBP,-,Equities,-,-,Materials,0.04%
492,BANKINTER SA,ES0113679I37,Spain,EUR,Mercado Continuo Espana,Equities,Baa3,IBEX 35 Index,Financials,0.04%
493,MIZRAHI TEFAHOT BANK LTD,IL0006954379,Israel,ILS,-,Equities,-,-,Financials,0.04%
