,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
1,ASML HOLDING NV,NL0010273215,Netherlands,EUR,Euronext Amsterdam,Equities,Baa2,Amsterdam Exchanges Index,Information Technology,2.91%
2,HSBC HOLDINGS PLC,GB0005405286,United Kingdom,GBP,London Stock Exchange,Equities,Aa3,FTSE 100 Index,Financials,1.32%
3,ROCHE PS PAR AG,CH1499059983,Switzerland,CHF,-,Equities,-,Swiss Market Index,Health Care,1.20%
4,ASTRAZENECA PLC,GB0009895292,United Kingdom,GBP,London Stock Exchange,Equities,A2,FTSE 100 Index,Health Care,1.16%
5,ROYAL BANK OF CANADA,CA7800871021,Canada,CAD,Toronto Stock Exchange,Equities,Aa3,S&P/TSX COMPOSITE Index,Financials,1.16%
6,NOVARTIS AG,CH0012005267,Switzerland,CHF,Scoach Switzerland,Equities,Aa3,Swiss Market Index,Health Care,1.16%
7,NESTLE SA,CH0038863350,Switzerland,CHF,Scoach Switzerland,Equities,Aa2,Swiss Market Index,Consumer Staples,1.09%
8,SIEMENS N AG,DE0007236101,Germany,EUR,XETRA,Equities,Aa3,DAX Index,Industrials,0.93%
9,SHELL PLC,GB00BP6MXD84,Netherlands,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Energy,0.88%
10,MITSUBISHI UFJ FINANCIAL GROUP INC,JP3902900004,Japan,JPY,Tokyo Stock Exchange,Equities,A2,TOPIX Index,Financials,0.86%
11,BHP GROUP LTD,AU000000BHP4,Australia,AUD,Australian Stock Exchange,Equities,A1,ASX All Ordinaries Index,Materials,0.85%
12,TOKYO ELECTRON LTD,JP3571400005,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,0.84%
13,TORONTO DOMINION,CA8911605092,Canada,CAD,Toronto Stock Exchange,Equities,Aa1,S&P/TSX COMPOSITE Index,Financials,0.81%
14,BANCO SANTANDER SA,ES0113900J37,Spain,EUR,Mercado Continuo Espana,Equities,Baa1,IBEX 35 Index,Financials,0.79%
15,COMMONWEALTH BANK OF AUSTRALIA,AU000000CBA7,Australia,AUD,Australian Stock Exchange,Equities,Aa2,ASX All Ordinaries Index,Financials,0.77%
16,ALLIANZ,DE0008404005,Germany,EUR,XETRA,Equities,Aa3,DAX Index,Financials,0.72%
17,SCHNEIDER ELECTRIC,FR0000121972,France,EUR,Euronext Paris,Equities,A3,CAC 40 Index,Industrials,0.71%
18,KIOXIA HOLDINGS CORP,JP3236330001,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,0.70%
19,0,IE00BYQNZ507,-,USD,-,Equities,-,-,unknown,0.69%
20,ABB LTD,CH0012221716,Switzerland,CHF,Scoach Switzerland,Equities,A2,Swiss Market Index,Industrials,0.67%
21,SAP,DE0007164600,Germany,EUR,XETRA,Equities,-,DAX Index,Information Technology,0.66%
22,TOYOTA MOTOR CORP,JP3633400001,Japan,JPY,Tokyo Stock Exchange,Equities,Aa3,TOPIX Index,Consumer Discretionary,0.66%
23,ROLLS-ROYCE HOLDINGS PLC,GB00B63H8491,United Kingdom,GBP,London Stock Exchange,Equities,A2,FTSE 100 Index,Industrials,0.64%
24,UBS GROUP AG,CH0244767585,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Financials,0.64%
25,TOTALENERGIES,FR0000120271,France,EUR,Euronext Paris,Equities,Aa1,CAC 40 Index,Energy,0.63%
26,NOVO NORDISK CLASS B,DK0062498333,Denmark,DKK,Copenhagen Stock Exchange,Equities,-,-,Health Care,0.63%
27,IBERDROLA SA,ES0144580Y14,Spain,EUR,Mercado Continuo Espana,Equities,Baa1,IBEX 35 Index,Utilities,0.62%
28,ADVANTEST CORP,JP3122400009,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,0.59%
29,SUMITOMO MITSUI FINANCIAL GROUP IN,JP3890350006,Japan,JPY,Tokyo Stock Exchange,Equities,A2,TOPIX Index,Financials,0.58%
30,SHOPIFY SUBORDINATE VOTING INC CLA,CA82509L1076,Canada,CAD,New York Stock Exchange,Equities,-,S&P 500 Index,Information Technology,0.57%
31,LVMH,FR0000121014,France,EUR,Euronext Paris,Equities,A1,CAC 40 Index,Consumer Discretionary,0.57%
32,SIEMENS ENERGY N AG,DE000ENER6Y0,Germany,EUR,-,Equities,-,DAX Index,Industrials,0.57%
33,BANCO BILBAO VIZCAYA ARGENTARIA SA,ES0113211835,Spain,EUR,Mercado Continuo Espana,Equities,Baa2,IBEX 35 Index,Financials,0.56%
34,SOFTBANK GROUP CORP,JP3436100006,Japan,JPY,Tokyo Stock Exchange,Equities,Ba1,TOPIX Index,Communication Services,0.55%
35,SAFRAN SA,FR0000073272,France,EUR,Euronext Paris,Equities,-,CAC 40 Index,Industrials,0.54%
36,UNILEVER PLC,GB00BVZK7T90,United Kingdom,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Consumer Staples,0.54%
37,AIRBUS,NL0000235190,France,EUR,Euronext Paris,Equities,A2,CAC 40 Index,Industrials,0.53%
38,COMPAGNIE FINANCIERE RICHEMONT SA,CH0210483332,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Consumer Discretionary,0.51%
39,LAIR LIQUIDE SOCIETE ANONYME POUR,FR0000120073,France,EUR,Euronext Paris,Equities,A1,CAC 40 Index,Materials,0.51%
40,BRITISH AMERICAN TOBACCO,GB0002875804,United Kingdom,GBP,London Stock Exchange,Equities,A3,FTSE 100 Index,Consumer Staples,0.51%
41,HITACHI LTD,JP3788600009,Japan,JPY,Tokyo Stock Exchange,Equities,A3,TOPIX Index,Industrials,0.50%
42,BANK OF MONTREAL,CA0636711016,Canada,CAD,Toronto Stock Exchange,Equities,Aa3,S&P/TSX COMPOSITE Index,Financials,0.49%
43,ENBRIDGE INC,CA29250N1050,Canada,CAD,Toronto Stock Exchange,Equities,Baa1,S&P/TSX COMPOSITE Index,Energy,0.49%
44,SONY GROUP CORP,JP3435000009,Japan,JPY,Tokyo Stock Exchange,Equities,Ba1,TOPIX Index,Consumer Discretionary,0.48%
45,UNICREDIT,IT0005239360,Italy,EUR,Milan Stock Exchange,Equities,-,FTSE Italia All-Share Index,Financials,0.48%
46,INFINEON TECHNOLOGIES AG,DE0006231004,Germany,EUR,XETRA,Equities,-,DAX Index,Information Technology,0.47%
47,BNP PARIBAS SA,FR0000131104,France,EUR,Euronext Paris,Equities,Baa2,CAC 40 Index,Financials,0.46%
48,MIZUHO FINANCIAL GROUP INC,JP3885780001,Japan,JPY,Tokyo Stock Exchange,Equities,A2,TOPIX Index,Financials,0.45%
49,ZURICH INSURANCE GROUP AG,CH0011075394,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Financials,0.45%
50,MURATA MANUFACTURING LTD,JP3914400001,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,0.44%
51,BANK OF NOVA SCOTIA,CA0641491075,Canada,CAD,Toronto Stock Exchange,Equities,Aa2,S&P/TSX COMPOSITE Index,Financials,0.43%
52,GLAXOSMITHKLINE,GB00BN7SWP63,United Kingdom,GBP,-,Equities,-,-,Health Care,0.43%
53,LOREAL SA,FR0000120321,France,EUR,Euronext Paris,Equities,-,CAC 40 Index,Consumer Staples,0.43%
54,DBS GROUP HOLDINGS LTD,SG1L01001701,Singapore,SGD,-,Equities,-,-,Financials,0.43%
55,CANADIAN IMPERIAL BANK OF COMMERCE,CA1360691010,Canada,CAD,Toronto Stock Exchange,Equities,Aa3,S&P/TSX COMPOSITE Index,Financials,0.42%
56,RIO TINTO PLC,GB0007188757,Australia,GBP,London Stock Exchange,Equities,A3,FTSE 100 Index,Materials,0.41%
57,FAST RETAILING LTD,JP3802300008,Japan,JPY,Tokyo Stock Exchange,Equities,A2,TOPIX Index,Consumer Discretionary,0.40%
58,BP PLC,GB0007980591,United Kingdom,GBP,London Stock Exchange,Equities,A2,FTSE 100 Index,Energy,0.40%
59,DEUTSCHE TELEKOM N AG,DE0005557508,Germany,EUR,XETRA,Equities,Baa1,DAX Index,Communication Services,0.40%
60,AIA GROUP LTD,HK0000069689,Hong Kong,HKD,-,Equities,-,Hang Seng Index,Financials,0.39%
61,SANOFI SA,FR0000120578,France,EUR,Euronext Paris,Equities,A1,CAC 40 Index,Health Care,0.38%
62,INTESA SANPAOLO,IT0000072618,Italy,EUR,Milan Stock Exchange,Equities,Baa2,FTSE Italia All-Share Index,Financials,0.38%
63,RECRUIT HOLDINGS LTD,JP3970300004,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.37%
64,BARCLAYS PLC,GB0031348658,United Kingdom,GBP,London Stock Exchange,Equities,A3,FTSE 100 Index,Financials,0.37%
65,KEYENCE CORP,JP3236200006,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,0.37%
66,ING GROEP NV,NL0011821202,Netherlands,EUR,Euronext Amsterdam,Equities,-,Amsterdam Exchanges Index,Financials,0.37%
67,ENEL,IT0003128367,Italy,EUR,Milan Stock Exchange,Equities,Baa2,FTSE Italia All-Share Index,Utilities,0.36%
68,LLOYDS BANKING GROUP PLC,GB0008706128,United Kingdom,GBP,London Stock Exchange,Equities,A2,FTSE 100 Index,Financials,0.34%
69,BROOKFIELD CORP CLASS A,CA11271J1075,Canada,CAD,-,Equities,-,-,Financials,0.34%
70,WESTPAC BANKING CORPORATION CORP,AU000000WBC1,Australia,AUD,Australian Stock Exchange,Equities,Aa2,ASX All Ordinaries Index,Financials,0.34%
71,NATIONAL GRID PLC,GB00BDR05C01,United Kingdom,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Utilities,0.34%
72,MITSUBISHI CORP,JP3898400001,Japan,JPY,Tokyo Stock Exchange,Equities,A1,TOPIX Index,Industrials,0.33%
73,CANADIAN NATURAL RESOURCES LTD,CA1363851017,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Energy,0.33%
74,NATIONAL AUSTRALIA BANK LTD,AU000000NAB4,Australia,AUD,Australian Stock Exchange,Equities,Aa2,ASX All Ordinaries Index,Financials,0.32%
75,TOKIO MARINE HOLDINGS INC,JP3910660004,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Financials,0.32%
76,AGNICO EAGLE MINES LTD,CA0084741085,Canada,CAD,Toronto Stock Exchange,Equities,B1,S&P/TSX COMPOSITE Index,Materials,0.32%
77,AXA SA,FR0000120628,France,EUR,Euronext Paris,Equities,A2,CAC 40 Index,Financials,0.32%
78,CANADIAN PACIFIC KANSAS CITY LTD,CA13646K1084,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Industrials,0.31%
79,ANHEUSER-BUSCH INBEV SA,BE0974293251,Belgium,EUR,Euronext Brussels,Equities,-,BEL 20 Index,Consumer Staples,0.31%
80,ANZ GROUP HOLDINGS LTD,AU000000ANZ3,Australia,AUD,Australian Stock Exchange,Equities,Aa2,ASX All Ordinaries Index,Financials,0.30%
81,MUENCHENER RUECKVERSICHERUNGS-GESE,DE0008430026,Germany,EUR,XETRA,Equities,Aa3,DAX Index,Financials,0.29%
82,MITSUBISHI HEAVY INDUSTRIES LTD,JP3900000005,Japan,JPY,Tokyo Stock Exchange,Equities,Baa1,TOPIX Index,Industrials,0.29%
83,TC ENERGY CORP,CA87807B1076,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Energy,0.29%
84,INVESTOR CLASS B,SE0015811963,Sweden,SEK,-,Equities,-,OMX Stockholm 30 Index,Financials,0.29%
85,WESFARMERS LTD,AU000000WES1,Australia,AUD,Australian Stock Exchange,Equities,A3,ASX All Ordinaries Index,Consumer Discretionary,0.29%
86,BAE SYSTEMS PLC,GB0002634946,United Kingdom,GBP,London Stock Exchange,Equities,Baa2,FTSE 100 Index,Industrials,0.29%
87,SHIN ETSU CHEMICAL LTD,JP3371200001,Japan,JPY,Tokyo Stock Exchange,Equities,Aa3,TOPIX Index,Materials,0.28%
88,NATWEST GROUP PLC,GB00BM8PJY71,United Kingdom,GBP,-,Equities,-,-,Financials,0.28%
89,INDUSTRIA DE DISENO TEXTIL SA,ES0148396007,Spain,EUR,Mercado Continuo Espana,Equities,-,IBEX 35 Index,Consumer Discretionary,0.28%
90,MITSUBISHI ELECTRIC CORP,JP3902400005,Japan,JPY,Tokyo Stock Exchange,Equities,A1,TOPIX Index,Industrials,0.28%
91,MANULIFE FINANCIAL CORP,CA56501R1064,Canada,CAD,Toronto Stock Exchange,Equities,A2,S&P/TSX COMPOSITE Index,Financials,0.28%
92,SPOTIFY TECHNOLOGY SA,LU1778762911,Luxembourg,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Communication Services,0.28%
93,VINCI SA,FR0000125486,France,EUR,Euronext Paris,Equities,Baa1,CAC 40 Index,Industrials,0.27%
94,MITSUI LTD,JP3893600001,Japan,JPY,Tokyo Stock Exchange,Equities,A2,TOPIX Index,Industrials,0.27%
95,NOKIA,FI0009000681,Finland,EUR,Helsinki Stock Exchange,Equities,B1,OMX Helsinki Index,Information Technology,0.26%
96,GLENCORE PLC,JE00B4T3BW64,Australia,GBP,London Stock Exchange,Equities,Aa3,FTSE 100 Index,Materials,0.26%
97,SUNCOR ENERGY INC (CANADA),CA8672241079,Canada,CAD,Toronto Stock Exchange,Equities,Baa1,S&P/TSX COMPOSITE Index,Energy,0.26%
98,ITOCHU CORP,JP3143600009,Japan,JPY,Tokyo Stock Exchange,Equities,Baa1,TOPIX Index,Industrials,0.26%
99,PANASONIC HOLDINGS CORP,JP3866800000,Japan,JPY,Tokyo Stock Exchange,Equities,Baa3,TOPIX Index,Consumer Discretionary,0.26%
100,OVERSEA-CHINESE BANKING LTD,SG1S04926220,Singapore,SGD,-,Equities,-,-,Financials,0.26%
101,CANADIAN NATIONAL RAILWAY,CA1363751027,Canada,CAD,Toronto Stock Exchange,Equities,A3,S&P/TSX COMPOSITE Index,Industrials,0.25%
102,MACQUARIE GROUP LTD DEF,AU000000MQG1,Australia,AUD,Australian Stock Exchange,Equities,A3,ASX All Ordinaries Index,Financials,0.25%
103,BARRICK MINING CORP,CA06849F1080,Canada,CAD,Toronto Stock Exchange,Equities,-,-,Materials,0.25%
104,DEUTSCHE BANK AG,DE0005140008,Germany,EUR,XETRA,Equities,-,DAX Index,Financials,0.25%
105,NATIONAL BANK OF CANADA,CA6330671034,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Financials,0.25%
106,NORDEA BANK,FI4000297767,Finland,EUR,Helsinki Stock Exchange,Equities,-,OMX Stockholm 30 Index,Financials,0.23%
107,PROSUS NV CLASS N,NL0013654783,China,EUR,Euronext Amsterdam,Equities,-,Amsterdam Exchanges Index,Consumer Discretionary,0.23%
108,HONG KONG EXCHANGES AND CLEARING L,HK0388045442,Hong Kong,HKD,-,Equities,-,Hang Seng Index,Financials,0.23%
109,ESSILORLUXOTTICA SA,FR0000121667,France,EUR,Euronext Paris,Equities,A2,CAC 40 Index,Health Care,0.23%
110,SOCIETE GENERALE SA,FR0000130809,France,EUR,Euronext Paris,Equities,A2,CAC 40 Index,Financials,0.23%
111,ENGIE SA,FR0010208488,France,EUR,Euronext Paris,Equities,A1,CAC 40 Index,Utilities,0.23%
112,RELX PLC,GB00B2B0DG97,United Kingdom,GBP,London Stock Exchange,Equities,Baa1,FTSE 100 Index,Industrials,0.23%
113,ARGENX,NL0010832176,Netherlands,EUR,Euronext Brussels,Equities,-,-,Health Care,0.23%
114,COMPASS GROUP PLC,GB00BD6K4575,United Kingdom,USD,London Stock Exchange,Equities,-,FTSE 100 Index,Consumer Discretionary,0.22%
115,DEUTSCHE POST AG,DE0005552004,Germany,EUR,XETRA,Equities,Baa1,DAX Index,Industrials,0.22%
116,FUJIKURA LTD,JP3811000003,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.22%
117,HOYA CORP,JP3837800006,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Health Care,0.22%
118,NEBIUS NV CLASS A,NL0009805522,Netherlands,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Information Technology,0.22%
119,ASM INTERNATIONAL NV,NL0000334118,Netherlands,EUR,Euronext Amsterdam,Equities,Ba1,Amsterdam Exchanges Index,Information Technology,0.21%
120,DANONE SA,FR0000120644,France,EUR,Euronext Paris,Equities,A3,CAC 40 Index,Consumer Staples,0.21%
121,VOLVO CLASS B,SE0000115446,Sweden,SEK,Stockholm Stock Exchange,Equities,Baa2,OMX Stockholm 30 Index,Industrials,0.21%
122,RHEINMETALL AG,DE0007030009,Germany,EUR,XETRA,Equities,Ba1,DAX Index,Industrials,0.21%
123,BAYER AG,DE000BAY0017,Germany,EUR,XETRA,Equities,A3,DAX Index,Health Care,0.21%
124,RENESAS ELECTRONICS CORP,JP3164720009,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,0.21%
125,ANGLO AMERICAN PLC,GB00BTK05J60,United Kingdom,GBP,-,Equities,-,-,Materials,0.21%
126,TAKEDA PHARMACEUTICAL LTD,JP3463000004,Japan,JPY,Tokyo Stock Exchange,Equities,Aa3,TOPIX Index,Health Care,0.21%
127,SUMITOMO ELECTRIC INDUSTRIES LTD,JP3407400005,Japan,JPY,Tokyo Stock Exchange,Equities,A1,TOPIX Index,Consumer Discretionary,0.21%
128,WHEATON PRECIOUS METALS CORP,CA9628791027,Brazil,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Materials,0.20%
129,ATLAS COPCO CLASS A,SE0017486889,Sweden,SEK,-,Equities,-,OMX Stockholm 30 Index,Industrials,0.20%
130,DEUTSCHE BOERSE AG,DE0005810055,Germany,EUR,XETRA,Equities,Aa2,DAX Index,Financials,0.20%
131,CAIXABANK SA,ES0140609019,Spain,EUR,Mercado Continuo Espana,Equities,Baa3,IBEX 35 Index,Financials,0.20%
132,KDDI CORP,JP3496400007,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Communication Services,0.20%
133,BASF N,DE000BASF111,Germany,EUR,XETRA,Equities,A1,DAX Index,Materials,0.20%
134,STANDARD CHARTERED PLC,GB0004082847,United Kingdom,GBP,London Stock Exchange,Equities,A2,FTSE 100 Index,Financials,0.20%
135,LONDON STOCK EXCHANGE GROUP PLC,GB00B0SWJX34,United Kingdom,GBP,London Stock Exchange,Equities,Baa2,FTSE 100 Index,Financials,0.19%
136,SWISS RE AG,CH0126881561,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Financials,0.19%
137,HERMES INTERNATIONAL,FR0000052292,France,EUR,Euronext Paris,Equities,-,CAC 40 Index,Consumer Discretionary,0.19%
138,LONZA GROUP AG,CH0013841017,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Health Care,0.19%
139,NINTENDO LTD,JP3756600007,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Communication Services,0.19%
140,PRYSMIAN,IT0004176001,Italy,EUR,Milan Stock Exchange,Equities,-,FTSE Italia All-Share Index,Industrials,0.19%
141,E.ON N,DE000ENAG999,Germany,EUR,XETRA,Equities,A3,DAX Index,Utilities,0.19%
142,STMICROELECTRONICS NV,NL0000226223,Singapore,EUR,Euronext Paris,Equities,Baa2,CAC 40 Index,Information Technology,0.19%
143,DIAGEO PLC,GB0002374006,United Kingdom,GBP,London Stock Exchange,Equities,A3,FTSE 100 Index,Consumer Staples,0.19%
144,HOLCIM LTD AG,CH0012214059,Switzerland,CHF,Scoach Switzerland,Equities,Baa2,Swiss Market Index,Materials,0.18%
145,DSV,DK0060079531,Denmark,DKK,Copenhagen Stock Exchange,Equities,-,OMX COPENHAGEN 20 Index,Industrials,0.18%
146,CAMECO CORP,CA13321L1085,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Energy,0.18%
147,FERRARI NV,NL0011585146,Italy,EUR,Milan Stock Exchange,Equities,-,FTSE Italia All-Share Index,Consumer Discretionary,0.18%
148,RIO TINTO LTD,AU000000RIO1,Australia,AUD,Australian Stock Exchange,Equities,A3,ASX All Ordinaries Index,Materials,0.18%
149,ALIMENTATION COUCHE TARD INC,CA01626P1484,Canada,CAD,Toronto Stock Exchange,Equities,-,-,Consumer Staples,0.18%
150,GOODMAN GROUP UNITS,AU000000GMG2,Australia,AUD,Australian Stock Exchange,Equities,Baa2,ASX All Ordinaries Index,Real Estate,0.18%
151,SUN LIFE FINANCIAL INC,CA8667961053,Canada,CAD,Toronto Stock Exchange,Equities,A2,S&P/TSX COMPOSITE Index,Financials,0.18%
152,DISCO CORP,JP3548600000,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,0.17%
153,ENI,IT0003132476,Italy,EUR,Milan Stock Exchange,Equities,A3,FTSE Italia All-Share Index,Energy,0.17%
154,GALDERMA GROUP N AG,CH1335392721,Switzerland,CHF,-,Equities,-,Swiss Market Index,Health Care,0.17%
155,RECKITT BENCKISER GROUP PLC,GB00BSZBP530,United Kingdom,GBP,-,Equities,-,-,Consumer Staples,0.17%
156,LEGRAND SA,FR0010307819,France,EUR,Euronext Paris,Equities,A3,CAC 40 Index,Industrials,0.17%
157,TDK CORP,JP3538800008,Japan,JPY,Tokyo Stock Exchange,Equities,A3,TOPIX Index,Information Technology,0.17%
158,SANDVIK,SE0000667891,Sweden,SEK,Stockholm Stock Exchange,Equities,Baa2,OMX Stockholm 30 Index,Industrials,0.17%
159,ORIX CORP,JP3200450009,Japan,JPY,Tokyo Stock Exchange,Equities,Baa2,TOPIX Index,Financials,0.17%
160,RWE AG,DE0007037129,Germany,EUR,XETRA,Equities,Baa1,DAX Index,Utilities,0.17%
161,HALEON PLC,GB00BMX86B70,Switzerland,GBP,-,Equities,-,-,Health Care,0.17%
162,MARUBENI CORP,JP3877600001,Japan,JPY,Tokyo Stock Exchange,Equities,Baa2,TOPIX Index,Industrials,0.17%
163,JAPAN TOBACCO INC,JP3726800000,Japan,JPY,Tokyo Stock Exchange,Equities,Aa3,TOPIX Index,Consumer Staples,0.17%
164,FANUC CORP,JP3802400006,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.16%
165,ERSTE GROUP BANK AG,AT0000652011,Austria,EUR,Vienna Stock Exchange,Equities,Baa1,Austrian Traded Index,Financials,0.16%
166,DAIKIN INDUSTRIES LTD,JP3481800005,Japan,JPY,Tokyo Stock Exchange,Equities,A3,TOPIX Index,Industrials,0.16%
167,SSE PLC,GB0007908733,United Kingdom,GBP,London Stock Exchange,Equities,A3,FTSE 100 Index,Utilities,0.16%
168,FRANCO NEVADA CORP,CA3518581051,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Materials,0.16%
169,CELESTICA INC,CA15101Q2071,Canada,CAD,-,Equities,-,-,Information Technology,0.16%
170,COMPAGNIE DE SAINT GOBAIN SA,FR0000125007,France,EUR,Euronext Paris,Equities,Baa2,CAC 40 Index,Industrials,0.16%
171,CONSTELLATION SOFTWARE INC,CA21037X1006,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Information Technology,0.16%
172,TESCO PLC,GB00BLGZ9862,United Kingdom,GBP,-,Equities,-,-,Consumer Staples,0.16%
173,GIVAUDAN SA,CH0010645932,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Materials,0.16%
174,TEVA PHARMACEUTICAL INDUSTRIES ADR,US8816242098,Israel,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Health Care,0.16%
175,GENERALI,IT0000062072,Italy,EUR,Milan Stock Exchange,Equities,Baa2,FTSE Italia All-Share Index,Financials,0.16%
176,CSL LTD,AU000000CSL8,United States,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Health Care,0.16%
177,SUMITOMO CORP,JP3404600003,Japan,JPY,Tokyo Stock Exchange,Equities,A2,TOPIX Index,Industrials,0.16%
178,SANDOZ GROUP AG,CH1243598427,Switzerland,CHF,-,Equities,-,Swiss Market Index,Health Care,0.15%
179,UNITED OVERSEAS BANK LTD,SG1M31001969,Singapore,SGD,-,Equities,-,-,Financials,0.15%
180,SOFTBANK CORP,JP3732000009,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Communication Services,0.15%
181,UCB SA,BE0003739530,Belgium,EUR,Euronext Brussels,Equities,-,BEL 20 Index,Health Care,0.15%
182,DAIICHI LIFE GROUP INC,JP3476480003,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Financials,0.15%
183,WOODSIDE ENERGY GROUP LTD,AU0000224040,Australia,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Energy,0.15%
184,DOLLARAMA INC,CA25675T1075,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Consumer Discretionary,0.15%
185,INTACT FINANCIAL CORP,CA45823T1066,Canada,CAD,Toronto Stock Exchange,Equities,Baa1,S&P/TSX COMPOSITE Index,Financials,0.15%
186,ORANGE SA,FR0000133308,France,EUR,Euronext Paris,Equities,Baa1,CAC 40 Index,Communication Services,0.15%
187,KONINKLIJKE AHOLD DELHAIZE NV,NL0011794037,Netherlands,EUR,Euronext Amsterdam,Equities,-,Amsterdam Exchanges Index,Consumer Staples,0.14%
188,MERCEDES-BENZ GROUP N AG,DE0007100000,Germany,EUR,XETRA,Equities,A3,DAX Index,Consumer Discretionary,0.14%
189,SEA ADS REPRESENTING LTD CLASS A,US81141R1005,Singapore,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Consumer Discretionary,0.14%
190,FUJITSU LTD,JP3818000006,Japan,JPY,Tokyo Stock Exchange,Equities,Baa1,TOPIX Index,Information Technology,0.14%
191,WOOLWORTHS GROUP LTD,AU000000WOW2,Australia,AUD,Australian Stock Exchange,Equities,A3,ASX All Ordinaries Index,Consumer Staples,0.14%
192,IBIDEN LTD,JP3148800000,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,0.14%
193,ASSA ABLOY CLASS B,SE0007100581,Sweden,SEK,Stockholm Stock Exchange,Equities,-,OMX Stockholm 30 Index,Industrials,0.14%
194,JAPAN POST BANK LTD,JP3946750001,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Financials,0.14%
195,PRUDENTIAL PLC,GB0007099541,Hong Kong,GBP,London Stock Exchange,Equities,A2,FTSE 100 Index,Financials,0.14%
196,ALCON AG,CH0432492467,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Health Care,0.14%
197,KOMATSU LTD,JP3304200003,Japan,JPY,Tokyo Stock Exchange,Equities,A2,TOPIX Index,Industrials,0.14%
198,ADIDAS N AG,DE000A1EWWW0,Germany,EUR,XETRA,Equities,-,DAX Index,Consumer Discretionary,0.14%
199,DANSKE BANK,DK0010274414,Denmark,DKK,Copenhagen Stock Exchange,Equities,Baa1,OMX COPENHAGEN 20 Index,Financials,0.13%
200,BANK LEUMI LE ISRAEL,IL0006046119,Israel,ILS,-,Equities,-,-,Financials,0.13%
201,HONDA MOTOR LTD,JP3854600008,Japan,JPY,Tokyo Stock Exchange,Equities,A1,TOPIX Index,Consumer Discretionary,0.13%
202,CENOVUS ENERGY,CA15135U1093,Canada,CAD,Toronto Stock Exchange,Equities,Baa2,S&P/TSX COMPOSITE Index,Energy,0.13%
203,POWER CORPORATION OF CANADA,CA7392391016,Canada,CAD,Toronto Stock Exchange,Equities,A2,S&P/TSX COMPOSITE Index,Financials,0.13%
