,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
112,ABIVAX SA,FR0012333284,France,EUR,-,Equities,-,-,Biotechnology,0.06%
113,KYOWA KIRIN LTD,JP3256000005,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Pharmaceuticals,0.05%
114,DEMANT,DK0060738599,Denmark,DKK,Copenhagen Stock Exchange,Equities,-,OMX COPENHAGEN 20 Index,Health Care Equipment,0.04%
115,EURO CURRENCY,_CURRENCYEUR,-,EUR,-,Cash,-,-,unknown,0.04%
116,BIOMERIEUX SA,FR0013280286,France,EUR,-,Equities,-,-,Health Care Equipment,0.04%
117,NEW ZEALAND DOLLAR,_CURRENCYNZD,New Zealand,NZD,-,Cash,-,-,unknown,0.01%
118,AUSTRALIAN DOLLAR,_CURRENCYAUD,Australia,AUD,-,Cash,-,-,unknown,0.01%
119,DANISH KRONE,_CURRENCYDKK,Denmark,DKK,-,Cash,-,-,unknown,0.01%
120,POUND STERLING,_CURRENCYGBP,United Kingdom,GBP,-,Cash,-,-,unknown,0.01%
121,SWEDISH KRONA,_CURRENCYSEK,Sweden,SEK,-,Cash,-,-,unknown,0.00%
122,JAPANESE YEN,_CURRENCYJPY,Japan,JPY,-,Cash,-,-,unknown,0.00%
123,SWISS FRANC,_CURRENCYCHF,Switzerland,CHF,-,Cash,-,-,unknown,0.00%
124,NEW ISRAELI SHEQEL,_CURRENCYILS,Israel,ILS,-,Cash,-,-,unknown,0.00%
125,HONG KONG DOLLAR,_CURRENCYHKD,Hong Kong,HKD,-,Cash,-,-,unknown,0.00%
126,-,US436CVR0216,United States,USD,-,Equities,-,-,unknown,0.00%
127,NMC HEALTH PLC,GB00B7FC0762,United Arab Emirates,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Health Care Facilities,0.00%
128,CANADIAN DOLLAR,_CURRENCYCAD,Canada,CAD,-,Cash,-,-,unknown,N/A
129,MSCI WORLD HEALTH SEP26,___ADI3BF6G0,Germany,USD,-,Future,-,-,unknown,N/A
