Fund Holdings as of,"06/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"2611","GUOTAI HAITONG SECURITIES CO LTD H","Financials","Equity","4,868,465.97","0.18","4,868,465.97","2,477,768.00","1.96","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"002594","BYD LTD A","Consumer Discretionary","Equity","4,654,807.70","0.17","4,654,807.70","361,500.00","12.88","China","Shenzhen Stock Exchange","CNY"
"358","JIANGXI COPPER LTD H","Materials","Equity","4,630,499.31","0.17","4,630,499.31","1,161,000.00","3.99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3606","FUYAO GLASS INDUSTRY GROUP LTD H","Consumer Discretionary","Equity","4,611,082.78","0.17","4,611,082.78","666,000.00","6.92","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9698","GDS HOLDINGS LTD CLASS A","Information Technology","Equity","4,496,993.42","0.17","4,496,993.42","1,209,500.00","3.72","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1919","COSCO SHIPPING HOLDINGS LTD H","Industrials","Equity","4,487,531.11","0.17","4,487,531.11","2,554,050.00","1.76","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1818","ZHAOJIN MINING INDUSTRY LTD H","Materials","Equity","4,466,807.77","0.17","4,466,807.77","1,838,000.00","2.43","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"002475","LUXSHARE PRECISION INDUSTRY LTD A","Information Technology","Equity","4,412,097.74","0.16","4,412,097.74","477,030.00","9.25","China","Shenzhen Stock Exchange","CNY"
"2018","AAC TECHNOLOGIES HOLDINGS INC","Information Technology","Equity","4,332,563.63","0.16","4,332,563.63","858,500.00","5.05","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"601398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","4,294,830.94","0.16","4,294,830.94","4,100,900.00","1.05","China","Shanghai Stock Exchange","CNY"
"603986","GIGADEVICE SEMICONDUCTOR INC A","Information Technology","Equity","4,261,907.55","0.16","4,261,907.55","44,284.00","96.24","China","Shanghai Stock Exchange","CNY"
"6990","SICHUAN KELUN-BIOTECH BIOPHARM LTD","Health Care","Equity","4,258,593.87","0.16","4,258,593.87","63,800.00","66.75","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2688","ENN ENERGY HOLDINGS LTD","Utilities","Equity","4,232,243.59","0.16","4,232,243.59","797,900.00","5.30","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"966","CHINA TAIPING INSURANCE HLDGS LTD","Financials","Equity","4,133,931.76","0.15","4,133,931.76","1,580,000.00","2.62","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2600","ALUMINUM CORPORATION OF CHINA LTD","Materials","Equity","4,078,357.22","0.15","4,078,357.22","4,106,000.00","0.99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"168","TSINGTAO BREWERY LTD H","Consumer Staples","Equity","4,019,161.52","0.15","4,019,161.52","694,000.00","5.79","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"VIPS","VIPSHOP HOLDINGS SPONSORED ADS REP","Consumer Discretionary","Equity","4,003,065.65","0.15","4,003,065.65","300,305.00","13.33","China","New York Stock Exchange Inc.","USD"
"002384","SUZHOU DONGSHAN PRECISION MANUFACT","Information Technology","Equity","3,965,234.41","0.15","3,965,234.41","120,100.00","33.02","China","Shenzhen Stock Exchange","CNY"
"688012","ADVANCED MICRO-FABRICATION EQUIPME","Information Technology","Equity","3,811,228.96","0.14","3,811,228.96","61,692.00","61.78","China","Shanghai Stock Exchange","CNY"
"1816","CGN POWER LTD H","Utilities","Equity","3,779,022.80","0.14","3,779,022.80","11,059,000.00","0.34","China","Hong Kong Exchanges And Clearing Ltd","HKD"
